OBJECTID,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
73,53.322600000000001,-123.226799999999997,311.800000000000011,1.100000000000000,1.100000000000000,2019-03-25 0:00:00,1942,Terra,MODIS,68,6.030000000000000,278.300000000000011,17.100000000000001,D,0
74,53.200800000000001,-124.019999999999996,323.199999999999989,1.100000000000000,1.000000000000000,2019-03-25 0:00:00,1942,Terra,MODIS,82,6.030000000000000,276.199999999999989,27.399999999999999,D,0
75,53.198099999999997,-124.004800000000003,309.300000000000011,1.100000000000000,1.000000000000000,2019-03-25 0:00:00,1942,Terra,MODIS,68,6.030000000000000,276.000000000000000,14.100000000000000,D,0
76,53.848799999999997,-125.235100000000003,303.399999999999977,1.200000000000000,1.100000000000000,2019-03-25 0:00:00,2129,Aqua,MODIS,0,6.030000000000000,273.000000000000000,11.500000000000000,D,0
77,49.787700000000001,-124.388599999999997,307.399999999999977,1.100000000000000,1.000000000000000,2019-03-27 0:00:00,558,Terra,MODIS,71,6.030000000000000,273.899999999999977,14.199999999999999,N,0
78,53.022100000000002,-124.692300000000003,320.699999999999989,1.000000000000000,1.000000000000000,2019-03-27 0:00:00,1930,Terra,MODIS,80,6.030000000000000,276.800000000000011,23.300000000000001,D,0
79,53.183599999999998,-124.007099999999994,320.000000000000000,1.000000000000000,1.000000000000000,2019-03-27 0:00:00,1930,Terra,MODIS,80,6.030000000000000,274.000000000000000,21.699999999999999,D,0
80,53.181500000000000,-123.992500000000007,371.100000000000023,1.000000000000000,1.000000000000000,2019-03-27 0:00:00,1930,Terra,MODIS,100,6.030000000000000,276.600000000000023,123.799999999999997,D,0
81,49.780700000000003,-124.390799999999999,300.399999999999977,1.000000000000000,1.000000000000000,2019-03-27 0:00:00,2116,Aqua,MODIS,28,6.030000000000000,288.100000000000023,5.100000000000000,D,0
82,53.016900000000000,-124.688599999999994,309.399999999999977,1.000000000000000,1.000000000000000,2019-03-27 0:00:00,2117,Aqua,MODIS,65,6.030000000000000,276.500000000000000,13.900000000000000,D,0
83,52.901800000000001,-123.998800000000003,316.100000000000023,1.100000000000000,1.000000000000000,2019-03-27 0:00:00,2117,Aqua,MODIS,72,6.030000000000000,274.899999999999977,17.399999999999999,D,0
84,52.899799999999999,-124.014399999999995,309.600000000000023,1.100000000000000,1.000000000000000,2019-03-27 0:00:00,2117,Aqua,MODIS,60,6.030000000000000,270.000000000000000,12.199999999999999,D,0
85,53.014899999999997,-124.703599999999994,303.399999999999977,1.000000000000000,1.000000000000000,2019-03-27 0:00:00,2117,Aqua,MODIS,53,6.030000000000000,276.600000000000023,9.900000000000000,D,0
86,53.179000000000002,-124.001300000000001,356.600000000000023,1.100000000000000,1.000000000000000,2019-03-27 0:00:00,2117,Aqua,MODIS,98,6.030000000000000,277.899999999999977,88.299999999999997,D,0
87,52.895899999999997,-123.987099999999998,302.500000000000000,3.200000000000000,1.700000000000000,2019-03-28 0:00:00,1835,Terra,MODIS,49,6.030000000000000,279.000000000000000,42.399999999999999,D,0
88,52.896299999999997,-123.999700000000004,303.500000000000000,2.200000000000000,1.400000000000000,2019-03-28 0:00:00,2013,Terra,MODIS,56,6.030000000000000,279.600000000000023,26.899999999999999,D,0
89,49.325600000000001,-115.480400000000003,316.699999999999989,1.200000000000000,1.100000000000000,2019-03-28 0:00:00,2021,Aqua,MODIS,32,6.030000000000000,268.300000000000011,19.300000000000001,D,0
90,52.899700000000003,-124.001900000000006,306.399999999999977,2.300000000000000,1.500000000000000,2019-03-28 0:00:00,2022,Aqua,MODIS,63,6.030000000000000,279.399999999999977,35.299999999999997,D,0
91,54.298999999999999,-130.272699999999986,300.500000000000000,1.500000000000000,1.200000000000000,2019-03-28 0:00:00,2200,Aqua,MODIS,0,6.030000000000000,287.000000000000000,9.300000000000001,D,0
